time	day	hour	min	sec	vessel_a_x	vessel_a_y	vessel_a_z	vessel_b_x	vessel_b_y	vessel_b_z	vessel_c_x	vessel_c_y	vessel_c_z	vessel_d_x	vessel_d_y	vessel_d_z	vessel_e_x	vessel_e_y	vessel_e_z	vessel_f_x	vessel_f_y	vessel_f_z	vessel_g_x	vessel_g_y	vessel_g_z	suav_1_x	suav_1_y	suav_1_z	suav_2_x	suav_2_y	suav_2_z	suav_3_x	suav_3_y	suav_3_z	suav_4_x	suav_4_y	suav_4_z	suav_5_x	suav_5_y	suav_5_z	suav_6_x	suav_6_y	suav_6_z	
54.696	22	12	55	43	-1400.611	19.77306	0.3727791	27.34308	-0.01047067	0.3869676	400.0004	-999.997	0.3390962	999.9994	1200.003	0.3708786	-1000.18	-499.9975	0.2095161	-100.175	600.0036	0.2246713	-899.9695	999.9928	0.3990778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
54.72	22	12	55	43	-1400.611	19.77299	0.3733534	27.35746	-0.01048366	0.3851436	400.0004	-999.997	0.3412473	999.9993	1200.003	0.368342	-1000.18	-499.9975	0.2119411	-100.1751	600.0036	0.2238383	-899.9694	999.9928	0.4006243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
54.728	22	12	55	43	-1400.612	19.77297	0.3735241	27.36156	-0.0104874	0.384625	400.0004	-999.997	0.3418759	999.9993	1200.003	0.3676185	-1000.18	-499.9975	0.2126467	-100.1751	600.0036	0.2236143	-899.9694	999.9928	0.4010619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
54.748	22	12	55	43	-1400.612	19.77291	0.3739637	27.37183	-0.01049675	0.3833339	400.0004	-999.997	0.3434683	999.9993	1200.003	0.365814	-1000.18	-499.9976	0.214434	-100.1752	600.0036	0.223082	-899.9694	999.9928	0.4021472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
54.768	22	12	55	43	-1400.612	19.77286	0.3744223	27.3821	-0.01050614	0.3820503	400.0004	-999.997	0.3450841	999.9992	1200.003	0.3640196	-1000.18	-499.9976	0.2162536	-100.1752	600.0036	0.2225895	-899.9694	999.9928	0.4032192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
54.784	22	12	55	43	-1400.612	19.77282	0.3748031	27.39032	-0.01051366	0.3810286	400.0004	-999.997	0.3463892	999.9992	1200.003	0.3625958	-1000.18	-499.9976	0.2177314	-100.1752	600.0036	0.2222248	-899.9694	999.9928	0.4040666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
54.804	22	12	55	44	-1400.612	19.77277	0.3752966	27.40059	-0.01052308	0.3797577	400.0004	-999.997	0.3480322	999.9992	1200.003	0.3608375	-1000.18	-499.9976	0.2196053	-100.1753	600.0036	0.2218067	-899.9694	999.9928	0.4051125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
54.816	22	12	55	44	-1400.612	19.77273	0.3756023	27.40675	-0.01052875	0.3789981	400.0004	-999.997	0.3490233	999.9991	1200.003	0.3597975	-1000.18	-499.9976	0.2207433	-100.1753	600.0036	0.2215766	-899.9693	999.9928	0.4057325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
54.84	22	12	55	44	-1400.612	19.77267	0.3762352	27.41908	-0.0105401	0.377485	400.0004	-999.997	0.3510176	999.9991	1200.003	0.3577605	-1000.181	-499.9976	0.2230491	-100.1754	600.0036	0.2211647	-899.9693	999.9928	0.4069549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
54.864	22	12	55	44	-1400.612	19.77261	0.3768971	27.4314	-0.01055147	0.3759795	400.0004	-999.997	0.353031	999.9991	1200.003	0.3557937	-1000.181	-499.9976	0.2253928	-100.1754	600.0036	0.2208202	-899.9693	999.9928	0.4081527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
54.876	22	12	55	44	-1400.612	19.77258	0.377239	27.43756	-0.01055718	0.3752294	400.0004	-999.997	0.3540471	999.999	1200.003	0.354841	-1000.181	-499.9976	0.2265784	-100.1755	600.0036	0.2206742	-899.9693	999.9928	0.4087419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
54.908	22	12	55	44	-1400.612	19.7725	0.3781864	27.45399	-0.01057241	0.3732384	400.0004	-999.997	0.3567989	999.999	1200.003	0.3524132	-1000.181	-499.9976	0.2297822	-100.1755	600.0037	0.2203744	-899.9693	999.9928	0.41028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
54.92	22	12	55	44	-1400.612	19.77247	0.3785551	27.46015	-0.01057813	0.3724957	400.0004	-999.997	0.3574988	999.999	1200.003	0.3518335	-1000.181	-499.9976	0.2305923	-100.1756	600.0037	0.2203202	-899.9692	999.9928	0.4106568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
54.952	22	12	55	44	-1400.613	19.77239	0.3795736	27.47658	-0.01059335	0.3705284	400.0004	-999.997	0.360725	999.9989	1200.003	0.3493641	-1000.181	-499.9976	0.2342799	-100.1756	600.0037	0.2201824	-899.9692	999.9928	0.4123122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
54.964	22	12	55	44	-1400.613	19.77236	0.3799687	27.48274	-0.01059904	0.3697966	400.0004	-999.997	0.3618329	999.9989	1200.003	0.3485915	-1000.181	-499.9977	0.2355234	-100.1757	600.0037	0.2201753	-899.9692	999.9928	0.412849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
54.996	22	12	55	44	-1400.613	19.77229	0.381057	27.49917	-0.0106141	0.3678652	400.0004	-999.997	0.3648803	999.9988	1200.003	0.3466476	-1000.182	-499.9977	0.2388699	-100.1757	600.0037	0.220252	-899.9692	999.9928	0.4142427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
55.008	22	12	55	44	-1400.613	19.77226	0.3814779	27.50533	-0.0106197	0.3671496	400.0004	-999.997	0.3660604	999.9988	1200.003	0.3459594	-1000.182	-499.9977	0.2401351	-100.1757	600.0037	0.2203165	-899.9692	999.9928	0.4147508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
55.036	22	12	55	44	-1400.613	19.77219	0.3824864	27.5197	-0.01063264	0.3655013	400.0004	-999.997	0.3688976	999.9988	1200.003	0.3444295	-1000.182	-499.9977	0.2431057	-100.1758	600.0037	0.2205419	-899.9691	999.9928	0.4159053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
55.056	22	12	55	44	-1400.613	19.77214	0.3832289	27.52997	-0.01064177	0.3643441	400.0003	-999.997	0.3709957	999.9987	1200.003	0.3433934	-1000.182	-499.9977	0.2452407	-100.1758	600.0037	0.2207664	-899.9691	999.9928	0.4167027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
55.084	22	12	55	44	-1400.613	19.77208	0.3842983	27.54434	-0.0106544	0.3627552	400.0003	-999.997	0.3740284	999.9987	1200.003	0.3420069	-1000.182	-499.9977	0.2482433	-100.1759	600.0038	0.2211685	-899.9691	999.9927	0.4177806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
55.104	22	12	55	44	-1400.613	19.77203	0.3850827	27.55461	-0.01066335	0.3616439	400.0003	-999.997	0.3762564	999.9986	1200.003	0.3410535	-1000.182	-499.9977	0.2503948	-100.1759	600.0038	0.2215174	-899.9691	999.9927	0.4185228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
55.12	22	12	55	44	-1400.613	19.77199	0.3857221	27.56282	-0.01067047	0.3607697	400.0003	-999.9971	0.3780709	999.9986	1200.003	0.3403085	-1000.182	-499.9977	0.2521183	-100.176	600.0038	0.221833	-899.969	999.9927	0.4190997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
55.152	22	12	55	44	-1400.613	19.77192	0.3870308	27.57925	-0.01068465	0.3590622	400.0003	-999.9971	0.3817677	999.9985	1200.003	0.3388571	-1000.183	-499.9978	0.2555666	-100.176	600.0038	0.22256	-899.969	999.9927	0.4202079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
55.18	22	12	55	44	-1400.614	19.77185	0.3882065	27.59362	-0.01069705	0.3576145	400.0003	-999.9971	0.3850524	999.9985	1200.003	0.3376223	-1000.183	-499.9978	0.2585798	-100.1761	600.0038	0.2232991	-899.969	999.9927	0.4211264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
55.2	22	12	55	44	-1400.614	19.77181	0.3890623	27.60389	-0.0107059	0.3566077	400.0002	-999.9971	0.3874125	999.9985	1200.003	0.3367585	-1000.183	-499.9978	0.2607266	-100.1761	600.0038	0.2238848	-899.969	999.9927	0.4217526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
55.24	22	12	55	44	-1400.614	19.77172	0.39081	27.62442	-0.01072359	0.3546637	400.0002	-999.9971	0.3921325	999.9984	1200.003	0.3350782	-1000.183	-499.9978	0.2649988	-100.1762	600.0038	0.225198	-899.9689	999.9927	0.4229275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
55.252	22	12	55	45	-1400.614	19.77169	0.3913427	27.63058	-0.01072888	0.3540986	400.0002	-999.9971	0.3935426	999.9984	1200.003	0.3345874	-1000.183	-499.9978	0.2662735	-100.1762	600.0038	0.2256285	-899.9689	999.9927	0.4232592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
55.28	22	12	55	45	-1400.614	19.77162	0.3925985	27.64495	-0.01074118	0.352812	400.0002	-999.9971	0.3968153	999.9983	1200.003	0.3334684	-1000.183	-499.9978	0.2692326	-100.1763	600.0038	0.2266985	-899.9689	999.9927	0.4239949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
55.296	22	12	55	45	-1400.614	19.77159	0.3933233	27.65316	-0.01074817	0.3520965	400.0002	-999.9971	0.3986734	999.9983	1200.003	0.3328467	-1000.184	-499.9978	0.2709132	-100.1763	600.0038	0.2273512	-899.9689	999.9927	0.4243906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
55.332	22	12	55	45	-1400.614	19.7715	0.3949694	27.67163	-0.01076376	0.3505371	400.0001	-999.9971	0.4028263	999.9982	1200.003	0.3314987	-1000.184	-499.9978	0.2746638	-100.1764	600.0039	0.2289314	-899.9688	999.9927	0.4252143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
