time	day	hour	min	sec	control_state	uav_pos_x	uav_pos_y	uav_pos_z	uav_roll	uav_pitch	uav_yaw	uav_vel_x	uav_vel_y	uav_vel_z	
0	25	17	29	0	0	0	0	0	0	0	0	0	0	0	
0	25	17	29	0	1	-1504	-1.526962e-07	4.2755	0	0	0	0	0	0	
0.016	25	17	29	0	1	-1504	-1.526962e-07	4.2755	0	0	0	0	0	0	
0.02	25	17	29	0	1	-1504	-1.526962e-07	4.2755	0	0	0	0	0	0	
0.02	25	17	29	0	1	-1504	-1.526962e-07	4.2755	0	0	0	0	0	0	
0.024	25	17	29	0	1	-1504	-1.526962e-07	4.2755	0	0	0	0	0	0	
0.024	25	17	29	0	1	-1504	-1.526962e-07	4.2755	0	0	0	0	0	0	
0.044	25	17	29	0	1	-1504	-1.526962e-07	4.2755	0	0	0	0	0	0	
0.06	25	17	29	0	1	-1504	-4.667333e-07	4.2755	0	0	0	0	0	0	
0.068	25	17	29	0	1	-1504	-7.849768e-07	4.2755	0	0	0	0	0	0	
0.072	25	17	29	0	1	-1504	-9.319379e-07	4.275501	0	0	0	0	0	0	
0.076	25	17	29	0	1	-1504	-9.319379e-07	4.275501	0	0	0	0	0	0	
0.096	25	17	29	0	1	-1504	4.914588e-07	4.2755	0	0	0	0	0	0	
0.116	25	17	29	0	1	-1504	6.31587e-07	4.275501	0	0	0	0	0	0	
0.116	25	17	29	0	1	-1504	9.328609e-07	4.275501	0	0	0	0	0	0	
0.12	25	17	29	1	1	-1504	1.362533e-06	4.275503	0	0	0	0	0	0	
0.124	25	17	29	1	1	-1504	1.362533e-06	4.275503	0	0	0	0	0	0	
0.144	25	17	29	1	1	-1504	6.104085e-06	4.275524	0	0	0	0	0	0	
0.164	25	17	29	1	1	-1504	-8.878621e-07	4.275554	0	0	0	0	0	0	
0.168	25	17	29	1	1	-1504	-8.878621e-07	4.275554	6.349753e-05	-0.0001758151	1.504241e-05	0	0	0	
0.168	25	17	29	1	1	-1504	-2.592649e-06	4.27556	6.349753e-05	-0.0001758151	1.504241e-05	0	0	0	
0.18	25	17	29	1	1	-1504	-5.750778e-06	4.275573	0.0001321643	-0.0003629298	4.436429e-05	0	0	0	
0.204	25	17	29	1	1	-1504	-2.467946e-05	4.276112	0.0004978325	-0.0003196556	9.588771e-05	0	0	0	
0.212	25	17	29	1	1	-1504	-3.571466e-05	4.276506	0.0007775643	-0.0001666612	0.0001107899	0	0	0	
0.216	25	17	29	1	1	-1504	-4.227456e-05	4.276749	0.0009457329	-0.000114477	0.0001179744	0	0	0	
0.224	25	17	29	1	1	-1504	-5.752162e-05	4.277328	0.001334656	-1.997632e-05	0.0001313485	0	0	0	
0.252	25	17	29	1	1	-1504	-0.0001250467	4.280355	0.002823572	0.0003935157	0.0001719699	0	0	0	
0.26	25	17	29	1	1	-1504	-0.0001482941	4.281508	0.003236352	0.0004553726	0.0001817513	0	0	0	
0.26	25	17	29	1	1	-1504	-0.0001482941	4.281508	0.003440299	0.0004884317	0.0001865226	0	0	0	
0.264	25	17	29	1	1	-1504	-0.0001607648	4.282133	0.003440299	0.0004884317	0.0001865226	0	0	0	
0.272	25	17	29	1	1	-1504	-0.0001869303	4.28348	0.003820411	0.0005802735	0.0001961386	0	0	0	
0.296	25	17	29	1	1	-1504	-0.0002542531	4.287411	0.004409923	0.0008948029	0.0002253463	0	0	0	
0.308	25	17	29	1	1	-1504	-0.0003114221	4.291136	0.004417414	0.0009298296	0.0002400178	0	0	0	
0.308	25	17	29	1	1	-1504	-0.0003114221	4.291136	0.004417414	0.0009298296	0.0002400178	0	0	0	
0.312	25	17	29	1	1	-1504	-0.0003265335	4.292148	0.004382614	0.000892954	0.0002448541	0	0	0	
0.312	25	17	29	2	1	-1504	-0.0003265335	4.292148	0.004382614	0.000892954	0.0002448541	0	0	0	
0.332	25	17	29	2	1	-1504	-0.0004043881	4.297691	0.003860915	0.0006161274	0.0002668039	0	0	0	
0.352	25	17	29	2	1	-1504	-0.0004813945	4.304039	0.002675003	0.000301078	0.0002871219	0	0	0	
0.356	25	17	29	2	1	-1504	-0.000496765	4.305406	0.002375633	0.0002450849	0.0002909579	0	0	0	
0.36	25	17	29	2	1	-1504	-0.0005121312	4.306804	0.002060068	0.0001982141	0.0002947796	0	0	0	
0.364	25	17	29	2	1	-1504	-0.0005275166	4.308235	0.001731182	0.000167449	0.0002984614	0	0	0	
0.384	25	17	29	2	1	-1504	-0.000611007	4.315874	0.0001796668	0.0002274119	0.0003148227	0	0	0	
0.404	25	17	29	2	1	-1504	-0.0007037737	4.324321	-0.001094789	0.0002119083	0.0003289876	0	0	0	
0.404	25	17	29	2	1	-1504	-0.0007037737	4.324321	-0.001094789	0.0002119083	0.0003289876	0	0	0	
0.408	25	17	29	2	1	-1504	-0.0007222744	4.326107	-0.001337655	0.0002148376	0.0003309438	0	0	0	
0.408	25	17	29	2	1	-1504	-0.0007222744	4.326107	-0.001337655	0.0002148376	0.0003309438	0	0	0	
0.428	25	17	29	2	1	-1504	-0.0008145211	4.335525	-0.002405858	0.0004944243	0.0003381232	0	0	0	
0.448	25	17	29	2	1	-1504	-0.0009045896	4.345755	-0.00326575	0.0004561476	0.0003465298	0	0	0	
0.452	25	17	29	2	1	-1504	-0.0009225613	4.347899	-0.00326575	0.0004561476	0.0003465298	0	0	0	
0.456	25	17	29	2	1	-1504	-0.0009404133	4.350075	-0.003345364	0.0003484445	0.0003485086	0	0	0	
0.456	25	17	29	2	1	-1504	-0.0009404133	4.350075	-0.003345364	0.0003484445	0.0003485086	0	0	0	
0.48	25	17	29	2	1	-1504	-0.001051926	4.363811	-0.003213091	-0.0004372592	0.0003630816	0	0	0	
0.5	25	17	29	2	1	-1504	-0.001146169	4.376148	-0.00249136	-0.0008480462	0.0003778533	0	0	0	
0.5	25	17	29	2	1	-1504	-0.001146169	4.376148	-0.00249136	-0.0008480462	0.0003778533	0	0	0	
0.504	25	17	29	2	1	-1504	-0.001164937	4.378713	-0.002297389	-0.0009457536	0.0003811415	0	0	0	
0.508	25	17	29	3	1	-1504	-0.001183163	4.38131	-0.002107481	-0.001038751	0.0003844466	0	0	0	
0.528	25	17	29	3	1	-1504	-0.001248544	4.392021	-0.001377085	-0.001335067	0.0004046503	0	0	0	
0.548	25	17	29	3	1	-1504	-0.001328841	4.409058	-0.0008962368	-0.0008140516	0.0004254572	0	0	0	
0.548	25	17	29	3	1	-1504	-0.001328841	4.409058	-0.0008962368	-0.0008140516	0.0004254572	0	0	0	
0.552	25	17	29	3	1	-1504	-0.001341337	4.412009	-0.0008059475	-0.0005893888	0.0004294145	0	0	0	
0.568	25	17	29	3	1	-1503.999	-0.001389845	4.424136	-0.0004528445	0.0005355874	0.0004450093	0	0	0	
0.596	25	17	29	3	1	-1503.999	-0.001465612	4.443277	0.0003565079	0.001402252	0.0004696803	0	0	0	
0.596	25	17	29	3	1	-1503.999	-0.001478274	4.446577	0.0003565079	0.001402252	0.0004696803	0	0	0	
0.6	25	17	29	3	1	-1503.999	-0.001490788	4.449908	0.000463328	0.001327887	0.0004723594	0	0	0	
0.604	25	17	29	3	1	-1503.999	-0.001503339	4.45327	0.0005679498	0.00121063	0.0004746862	0	0	0	
0.624	25	17	29	3	1	-1503.999	-0.001571224	4.470545	0.001192238	0.0001702086	0.0004821251	0	0	0	
0.644	25	17	29	3	1	-1503.999	-0.001648231	4.488586	0.001927606	-0.001212395	0.0004894141	0	0	0	
0.644	25	17	29	3	1	-1503.999	-0.001648231	4.488586	0.001927606	-0.001212395	0.0004894141	0	0	0	
0.648	25	17	29	3	1	-1503.999	-0.001665031	4.492286	0.002088358	-0.00144989	0.0004917014	0	0	0	
0.652	25	17	29	3	1	-1503.999	-0.00168192	4.496016	0.002238271	-0.001643594	0.000494376	0	0	0	
0.676	25	17	29	3	1	-1503.999	-0.001768184	4.515117	0.002872253	-0.001745822	0.0005162936	0	0	0	
0.692	25	17	29	3	1	-1503.999	-0.001855436	4.534965	0.002959352	-0.0008371549	0.0005340374	0	0	0	
0.692	25	17	29	3	1	-1503.999	-0.001855436	4.534965	0.002959352	-0.0008371549	0.0005340374	0	0	0	
0.696	25	17	29	3	1	-1503.999	-0.001873353	4.539024	0.00294694	-0.0005365756	0.0005384698	0	0	0	
0.696	25	17	29	3	1	-1503.999	-0.001873353	4.539024	0.00294694	-0.0005365756	0.0005384698	0	0	0	
0.716	25	17	29	4	1	-1503.999	-0.001947679	4.555554	0.002753554	0.001160996	0.0005609323	0	0	0	
