time	day	hour	min	sec	control_state	uav_pos_x	uav_pos_y	uav_pos_z	uav_roll	uav_pitch	uav_yaw	uav_vel_x	uav_vel_y	uav_vel_z	vessel_a_error	vessel_b_error	vessel_c_error	vessel_d_error	vessel_e_error	vessel_f_error	vessel_g_error	
0	20	13	35	38	0	0	0	0	0	0	0	0	0	0	9341.507	9131.591	9146.673	8600.829	9425.608	8968.3	9207.804	
0	20	13	35	38	1	-1500	2.356043e-06	4.234999	0	0	0	0	0	0	9341.521	9131.592	9146.673	8600.816	9425.595	8968.299	9207.806	
0.04	20	13	35	38	1	-1500	2.356043e-06	4.234999	0	0	0	0	0	0	9341.533	9131.593	9146.673	8600.803	9425.582	8968.298	9207.808	
0.092	20	13	35	38	1	-1500	1.873982e-06	4.235025	0	0	0	0	0	0	9341.548	9131.593	9146.674	8600.788	9425.567	8968.297	9207.81	
0.14	20	13	35	38	1	-1500	-1.088971e-05	4.235101	0	0	0	0	0	0	9341.562	9131.594	9146.675	8600.775	9425.554	8968.296	9207.812	
0.184	20	13	35	38	1	-1500	2.387081e-06	4.235336	0	0	0	0	0	0	9341.575	9131.594	9146.676	8600.762	9425.542	8968.295	9207.814	
0.228	20	13	35	38	1	-1500	-6.957578e-07	4.23564	0	0	0	0	0	0	9341.588	9131.595	9146.677	8600.75	9425.53	8968.294	9207.816	
0.276	20	13	35	38	1	-1499.999	-9.488326e-06	4.23596	0.001026974	-0.002267411	2.144896e-05	0	0	0	9341.602	9131.595	9146.679	8600.737	9425.517	8968.293	9207.818	
0.32	20	13	35	38	1	-1499.999	-3.896151e-05	4.236936	0.001915777	2.123001e-06	4.659284e-05	0	0	0	9341.615	9131.596	9146.681	8600.724	9425.505	8968.291	9207.82	
0.368	20	13	35	38	1	-1499.999	-0.000111798	4.241249	0.002188391	0.002526206	8.137339e-05	0	0	0	9341.629	9131.596	9146.682	8600.711	9425.492	8968.29	9207.821	
0.408	20	13	35	39	1	-1499.998	-0.000234842	4.249516	0.001539766	0.002419449	0.0001021445	0	0	0	9341.641	9131.596	9146.684	8600.7	9425.482	8968.289	9207.823	
0.456	20	13	35	39	1	-1499.997	-0.0004116724	4.263123	0.001340899	0.0003073218	0.0001223732	0	0	0	9341.655	9131.597	9146.686	8600.687	9425.47	8968.288	9207.825	
0.504	20	13	35	39	1	-1499.997	-0.0006094197	4.279816	0.002801411	0.0006901075	0.0001326269	0	0	0	9341.668	9131.597	9146.689	8600.674	9425.458	8968.286	9207.827	
0.552	20	13	35	39	1	-1499.996	-0.0008961537	4.302611	0.003858608	-0.0005388472	0.0001137068	0	0	0	9341.681	9131.597	9146.691	8600.662	9425.448	8968.285	9207.829	
0.596	20	13	35	39	1	-1499.995	-0.001285544	4.330186	0.003038505	-0.004728201	8.283756e-05	0	0	0	9341.695	9131.598	9146.694	8600.648	9425.436	8968.283	9207.83	
0.644	20	13	35	39	1	-1499.994	-0.001756584	4.362527	0.00139631	-0.003261112	7.40591e-05	0	0	0	9341.709	9131.598	9146.696	8600.635	9425.425	8968.282	9207.832	
0.684	20	13	35	39	1	-1499.993	-0.002181933	4.39312	0.001486679	0.0001709996	7.20726e-05	0	0	0	9341.72	9131.598	9146.698	8600.625	9425.416	8968.28	9207.834	
0.724	20	13	35	39	1	-1499.992	-0.002634891	4.427021	0.002593843	0.0004407828	5.852334e-05	0	0	0	9341.731	9131.598	9146.701	8600.614	9425.407	8968.279	9207.835	
0.772	20	13	35	39	1	-1499.991	-0.003246494	4.472076	0.004495661	-0.0006002713	1.964566e-05	0	0	0	9341.745	9131.598	9146.703	8600.601	9425.396	8968.277	9207.836	
0.82	20	13	35	39	1	-1499.989	-0.003979164	4.521885	0.005477727	-0.001820786	1.47478e-07	0	0	0	9341.759	9131.598	9146.706	8600.588	9425.386	8968.276	9207.838	
0.868	20	13	35	39	1	-1499.988	-0.004856829	4.576458	0.004620596	-0.0007126673	-8.248879e-06	0	0	0	9341.772	9131.598	9146.709	8600.575	9425.376	8968.274	9207.839	
